"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"N95","Kendrick Lamar","Mr. Morale & The Big Steppers","2022-05-13",81,0.377,0.79,0.67,2.32e-06,0.119,-5.527,0.105,139.956,1,1,195950,0.408,4,"0fX4oNGBWO3dSGUZcVdVV2","conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA
"Super Gremlin","Kodak Black","Back For Everything","2022-02-25",71,0.00265,0.825,0.414,0,0.357,-6.634,0.144,72.993,2,1,200547,0.106,4,"1Y5Jvi3eLi4Chwqch9GMem","florida drill","florida rap","melodic rap","miami hip hop","rap","trap","trap latino",NA,NA,NA,NA
"Wild Blue","John Mayer","Sob Rock","2021-07-16",61,0.557,0.816,0.596,0.812,0.0842,-8.989,0.0294,123.027,0,1,252413,0.876,4,"4VFGpluBaU1WcquEMzhSz6","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pokémon Theme Lofi","Kato","Sleep Anime Lofi Beats","2021-09-17",56,0.927,0.489,0.0806,0.881,0.109,-27.124,0.0286,94.01,9,0,80570,0.161,4,"59dMMxNmcPXPKa4S0vYi1j","anime lo-fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unravel Lofi (Tokyo Ghoul)","Kato","Sleep Anime Lofi Beats","2021-09-17",56,0.949,0.481,0.0888,0.92,0.0989,-23.984,0.033,170.309,7,0,60497,0.427,4,"0dj0B1f01K3MQABqKhXhBy","anime lo-fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brain Damage","Pink Floyd","The Dark Side of the Moon","1973-03-01",69,0.0732,0.324,0.265,0.341,0.366,-13.398,0.0302,133.568,2,1,226666,0.208,4,"05uGBKRCuePsf43Hfm0JwX","album rock","art rock","classic rock","progressive rock","psychedelic rock","rock","symphonic rock",NA,NA,NA,NA
"Harder, Better, Faster, Stronger - Alive Radio Edit 2007","Daft Punk","Harder, Better, Faster, Stronger (Alive Radio Edit 2007)","2001-10-13",48,0.000922,0.538,0.837,0.0137,0.929,-10.314,0.097,126.095,5,0,204560,0.561,4,"7z2Xur2O6Dy9mh8oSauXa2","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA,NA
"Mes jambes","JeanJass","Goldman","2014",53,0.342,0.541,0.51,0,0.125,-10.061,0.451,83.936,9,0,117555,0.384,4,"5XfSZSiHb3NzgawUXZGA40","belgian hip hop","french hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossing Fields (Sword Art Online)","Kato","Sleep Anime Lofi Beats","2021-09-17",55,0.985,0.422,0.0597,0.918,0.103,-25.258,0.04,56.123,2,0,97285,0.0544,5,"6NwB3tdeZfQrlObYzFOIf6","anime lo-fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The King Will Come","Wishbone Ash","Argus (Expanded Edition)","1972",46,0.35,0.61,0.649,0.00187,0.0813,-10.826,0.035,109.469,10,0,425306,0.428,4,"2Lathi1zVEUYJtnyp8BkUW","art rock","blues rock","british blues","progressive rock","symphonic rock",NA,NA,NA,NA,NA,NA
"INDUSTRY BABY","Lil Nas X","INDUSTRY BABY 2.0","2021-10-09",57,0.0203,0.736,0.704,0,0.0501,-7.409,0.0615,149.995,3,0,212000,0.894,4,"5YtjgewpB55VaDbGw45uqB","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giorgio by Moroder","Daft Punk","Random Access Memories","2013-05-20",65,0.0692,0.74,0.682,0.53,0.381,-10.42,0.0504,113.201,9,0,544626,0.41,4,"0oks4FnzhNp5QPTZtoet7c","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA,NA
"Departure Lofi (Hunter X Hunter)","Kato","Sleep Anime Lofi Beats","2021-09-17",55,0.938,0.29,0.0778,0.901,0.0981,-24.414,0.0314,56.458,10,0,83432,0.13,5,"16335QyvKibibylkzB5n36","anime lo-fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nekfeu - 1995","Le Gouffre","Marche arrière","2013-10-07",44,0.162,0.825,0.592,0,0.162,-7.336,0.251,95.491,8,1,211093,0.697,4,"3S7VhROaENyagGYH9W7RmE","french hip hop","rap inde",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Entangled - 2007 Remaster","Genesis","A Trick of the Tail (2007 Remaster)","1976-02-02",33,0.598,0.251,0.336,0.00338,0.0782,-11.32,0.0252,149.899,9,1,387400,0.0869,3,"35hV8zjn00S3f2TatviobG","album rock","art rock","classic rock","hard rock","mellow gold","progressive rock","rock","soft rock","symphonic rock",NA,NA
"Now Or Never - Bonus Track","Kendrick Lamar","good kid, m.A.A.d city (Deluxe)","2012",59,0.264,0.528,0.708,0,0.308,-5.879,0.207,97.8,7,0,256013,0.781,4,"4KjnaUNYPwGnJjoeTFlt91","conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA
"Inferno Lofi (Fire Force)","Kato","Sleep Anime Lofi Beats","2021-09-17",55,0.898,0.475,0.0733,0.8,0.0908,-29.102,0.0318,94.218,4,1,77162,0.135,4,"0vhujdvWTTu2H6gORUJGW8","anime lo-fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg","Young, Wild & Free (feat. Bruno Mars)","2011-10-11",79,0.0525,0.715,0.655,0,0.115,-6.425,0.137,95.078,0,1,207333,0.531,4,"5HQVUIKwCEXpe7JIHyY734","g funk","gangster rap","hip hop","pop rap","rap","west coast rap",NA,NA,NA,NA,NA
"Golden","Jill Scott","Beautifully Human: Words and Sounds Vol. 2","2004-08-31",59,0.275,0.769,0.558,1.06e-06,0.0758,-6.232,0.0828,100.007,10,0,231560,0.593,4,"0bHs3ly4Bv5BlzE3KrePfX","hip pop","neo soul","quiet storm","r&b","urban contemporary",NA,NA,NA,NA,NA,NA
"Mirror","Kendrick Lamar","Mr. Morale & The Big Steppers","2022-05-13",67,0.225,0.652,0.67,1.4e-05,0.0804,-8.766,0.0639,91.933,2,1,256006,0.274,4,"5xoYormSTltk6F9SlQV6mm","conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA
"Gurenge Lofi (Demon Slayer)","Kato","Sleep Anime Lofi Beats","2021-09-17",56,0.717,0.622,0.124,0.838,0.095,-24.872,0.0369,134.025,4,0,72517,0.178,4,"5XZn5pE4NNGDjKB8UYQQU5","anime lo-fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazy Eye","Silversun Pickups","Carnavas","2006-07-25",66,0.0401,0.633,0.831,0.693,0.117,-5.053,0.0461,127.397,4,1,354360,0.243,4,"1aDLUzCyYpRXgrjwUWzV2X","alternative rock","indie rock","la indie","modern alternative rock","modern rock",NA,NA,NA,NA,NA,NA
"D.A.N.C.E - Radio Edit","Justice","D.A.N.C.E","2007-04-30",58,0.0523,0.591,0.961,0,0.753,-5.209,0.345,113.076,4,1,211880,0.536,4,"3gcmn2CtOE9SjBevmvGVEk","alternative dance","dance-punk","electronica","filter house","indietronica","neo-synthpop","new rave",NA,NA,NA,NA
"The Little Beggarman","The High Kings","The High Kings","2008-01-01",36,0.655,0.719,0.667,0,0.0865,-7.546,0.103,100.006,7,1,174746,0.793,4,"7k37IOHc7D1xlXcKjeUvo8","celtic","celtic rock","irish folk","irish pub song",NA,NA,NA,NA,NA,NA,NA
"Loneliness (Naruto)","Kato","Sleep Anime Lofi Beats","2021-09-17",55,0.612,0.619,0.0834,0.898,0.126,-23.629,0.0393,100.008,2,0,56823,0.2,4,"4vRiQs4LNSdRI2HaPgxzdh","anime lo-fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Welcome To Heartbreak","Kanye West","808s & Heartbreak","2008-11-24",63,0.0985,0.677,0.435,0.721,0.111,-11.024,0.033,95.991,7,0,262933,0.0729,4,"3F18I7LhWKxlf1PytSoTBH","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA
"SMiLE","DOMi & JD BECK","NOT TiGHT","2022-07-29",14,0.758,0.773,0.513,0.937,0.105,-11.06,0.0443,96.029,8,0,191361,0.718,5,"0xlU22EuFyySBak3rlMZlm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eclipse","Pink Floyd","The Dark Side of the Moon","1973-03-01",66,0.0589,0.359,0.577,0.751,0.0686,-10.804,0.0397,68.064,10,1,130427,0.141,4,"1tDWVeCR9oWGX8d5J9rswk","album rock","art rock","classic rock","progressive rock","psychedelic rock","rock","symphonic rock",NA,NA,NA,NA
"The Day Lofi (My Hero Academia)","Kato","Sleep Anime Lofi Beats","2021-09-17",55,0.847,0.512,0.047,0.96,0.343,-25.408,0.0326,96.002,1,0,85693,0.0837,4,"72B8I1baDDcQkMucrdUcMu","anime lo-fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I Want You Back","The Jackson 5","Diana Ross Presents The Jackson 5","1969-12-18",80,0.305,0.469,0.538,0.00012,0.37,-13.559,0.0571,196.605,8,1,176333,0.886,4,"5LxvwujISqiB8vpRYv887S","motown","soul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"On Everything","Kodak Black","Back For Everything","2022-02-25",47,0.117,0.703,0.665,0,0.0719,-5.709,0.335,130.051,1,1,192036,0.72,4,"3SgWgfBoO5JCJnpCwKd9DM","florida drill","florida rap","melodic rap","miami hip hop","rap","trap","trap latino",NA,NA,NA,NA
"Smooth Operator - 2011 Remastered","Sade","The Ultimate Collection","2011-05-09",67,0.0757,0.688,0.684,0.000832,0.0441,-5.181,0.032,119.193,9,0,256146,0.96,4,"28XDE6yXI6Bp4U3nLSGqzp","british soul","sophisti-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seabird","Alessi Brothers","The Best Of The Alessi Brothers","1998-01-01",66,0.136,0.733,0.384,7.97e-05,0.0979,-13.177,0.0306,126.023,0,0,186320,0.609,4,"7qw4F9ebIh2z1dSBpJMfdt","yacht rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Even In The Quietest Moments","Supertramp","Even In The Quietest Moments","1977-01-01",56,0.338,0.431,0.598,0.000129,0.131,-7.406,0.0288,132.392,7,1,386106,0.476,4,"4PqGEhQlHBczN9hBbui8eY","album rock","art rock","classic rock","glam rock","mellow gold","piano rock","progressive rock","rock","soft rock","symphonic rock",NA
"TAKE A CHANCE (feat. Anderson .Paak)","DOMi & JD BECK","TAKE A CHANCE (feat. Anderson .Paak)","2022-07-06",41,0.825,0.476,0.779,0.26,0.155,-9.189,0.163,156.655,1,1,264412,0.469,4,"3Fo54IlOlnwzMwGjjEqCzN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i","Kendrick Lamar","i","2014-09-23",66,0.0208,0.755,0.884,2.97e-06,0.248,-5.296,0.0638,121.927,10,0,231933,0.897,4,"7wdzLe2Gsx1RGqbvYZHASz","conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA
"Voyager","Daft Punk","Discovery","2001-03-12",64,0.288,0.669,0.743,0.805,0.309,-11.488,0.0494,119.881,7,1,227866,0.28,4,"7cMFjxhbXBpOlais7KMF3j","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA,NA
"Won't Get Fooled Again - Original Album Version","The Who","Who's Next (Deluxe Edition)","1971-08-14",68,0.301,0.686,0.92,0.27,0.0807,-6.231,0.0566,135.027,2,1,511400,0.225,4,"0cJPLFrlV7TTCyPLupHzcH","album rock","british invasion","classic rock","hard rock","rock",NA,NA,NA,NA,NA,NA
"Demain","Caballero & JeanJass","High & Fines Herbes","2020-04-09",47,0.0514,0.839,0.559,0,0.0946,-7.501,0.0796,88.515,4,0,158213,0.332,4,"1nsj29bpJSQxDu9y5yRE85","belgian hip hop","french hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Every Breath You Take","Various Artists","Stranger Things (Soundtrack from the Netflix Original Series)","2017-10-27",67,0.559,0.822,0.478,0.0073,0.0813,-8.746,0.0343,117.394,1,1,251573,0.722,4,"0SNGe4xksgp7CGnY5kMXOJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Favourite Boy","Half Moon Run","A Blemish In The Great Light","2019-11-01",39,0.000552,0.563,0.724,7.76e-06,0.0811,-5.498,0.0311,132.943,0,1,242253,0.817,4,"1PITPX6mHddaf4oXuV5yLq","canadian indie","indie folk","quebec indie",NA,NA,NA,NA,NA,NA,NA,NA
"The Count (feat. Wiz Khalifa)","Curren$y","The Marina","2018-05-30",65,0.709,0.385,0.757,0,0.235,-5.96,0.167,82.673,0,1,194594,0.469,4,"171PWhxgdrIOgcAiBPO3Gr","dirty south rap","new orleans rap","rap","southern hip hop",NA,NA,NA,NA,NA,NA,NA
"Manifeste","Orelsan","Civilisation","2021-11-19",47,0.462,0.542,0.655,0,0.247,-7.814,0.422,92.029,1,1,442249,0.559,4,"0dhZSfQGvCPaJQKlPtjrt2","french hip hop","old school rap francais","rap conscient",NA,NA,NA,NA,NA,NA,NA,NA
"CASCADE - Remix","Alpha Wann","UNE MAIN LAVE L'AUTRE","2018-09-21",55,0.187,0.647,0.586,0,0.104,-8.082,0.458,79.341,8,1,211213,0.484,4,"5MYYSTYXC3rZpymhsRgzrj","french hip hop","pop urbaine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sirius","The Alan Parsons Project","Eye In The Sky (Expanded Edition)","1982",69,0.0647,0.624,0.396,0.909,0.113,-15.411,0.034,111.401,4,1,115280,0.0388,4,"4OV0sRTFrZLXaZZ1sS9hLn","album rock","art rock","classic rock","mellow gold","progressive rock","soft rock","symphonic rock",NA,NA,NA,NA
"Superstar","Wiz Khalifa","Flight School","2009-04-17",32,0.0176,0.495,0.809,0,0.17,-7.717,0.289,159.861,6,1,196306,0.463,4,"7eQrFWYfmc5Fjh36LBCRqr","hip hop","pittsburgh rap","pop rap","rap","southern hip hop","trap",NA,NA,NA,NA,NA
"Theworstthing","Parcels","Day/Night","2021-11-05",56,0.411,0.757,0.345,0.03,0.0955,-10.554,0.0365,81.025,0,0,183906,0.624,4,"0EvZksFiDpboeG4UVaIvJa","aussietronica","indie soul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","The Killers","Day & Age (Bonus Tracks)","2008-11-18",78,0.00132,0.557,0.8,0.0012,0.0906,-8.477,0.0601,135.47,10,1,245373,0.582,4,"1sTsuZTdANkiFd7T34H3nb","alternative rock","dance rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"Runaway","Kanye West","My Beautiful Dark Twisted Fantasy","2010-11-22",84,0.219,0.374,0.568,0.00219,0.513,-3.825,0.109,84.733,1,0,547733,0.111,4,"3DK6m7It6Pw857FcQftMds","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA
"(Lay Your Head On My) Pillow","Tony! Toni! Toné!","Sons Of Soul","1993-01-01",53,0.0466,0.707,0.487,4.71e-06,0.0643,-8.948,0.036,79.071,6,0,372026,0.568,4,"0rRGYJSkI7v2VtxJv8n90m","contemporary r&b","new jack swing","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,NA
