"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"1","Andrea","Bresh","Andrea",2022,"Winter",46,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,"11","0",185125,0.325,"3","03j2Lo97VCDprSk8oLb8Gi","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"2","Alette","FVLLA","Alette",2021,"Summer",19,0.147,0.339,0.658,0,0.0476,-8.525,0.072,143.759,"1","1",156666,0.707,"4","56f2XysqkJTSH1GYYrGKeB",NA,NA,NA,NA,NA,NA,NA
"3","Polly","NASKA","REBEL",2022,"Spring",52,0.121,0.737,0.782,0,0.098,-4.346,0.0313,132.054,"1","0",165508,0.931,"4","1drNpTgwd5Jfzda228o9pa","emo rap italiano",NA,NA,NA,NA,NA,NA
"4","Lucy","Venerus","Magica Musica",2021,"Winter",41,0.0225,0.594,0.792,4.57e-05,0.103,-6.929,0.0389,95.025,"9","1",290117,0.842,"4","0GcslnhI2ZCFsrWgJD06Vo","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"5","ESTATE80","PSICOLOGI","MILLENNIUM BUG X",2021,"Spring",43,0.0179,0.755,0.792,0,0.234,-5.466,0.0327,123.025,"11","1",181472,0.965,"4","32nXo626Skw1tHWWYXKSKU","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"6","BABY GODDAMN","Tananai","BABY GODDAMN",2021,"Spring",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,"10","0",149605,0.885,"4","3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA
"7","Sorpresa (feat. Nayt)","CanovA","Sorpresa (feat. Nayt)",2021,"Winter",49,0.531,0.599,0.6,0,0.206,-6.876,0.049,153.942,"0","0",193298,0.619,"4","2JbrFFQEv0HgWZnsXaY4v7","italian pop",NA,NA,NA,NA,NA,NA
"8","Marylin","Tauro Boys","TauroTape2",2018,"Autumn",35,0.131,0.657,0.38,0.01,0.166,-11.914,0.0486,90.511,"0","1",196243,0.582,"4","5AHqRXh1GcsBp8C0Ahwaaw","hyperpop italiano","italian hip hop",NA,NA,NA,NA,NA
"9","Namasté (feat. Rkomi)","Venerus","Magica Musica",2021,"Winter",44,0.664,0.584,0.64,0.000506,0.371,-7.434,0.0514,79.976,"5","1",233040,0.536,"4","6He0QxDkF7LMLAyfHL7kHQ","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"10","Disturbato","L'Elfo","Gipsy Prince",2018,"Autumn",45,0.824,0.761,0.6,0,0.215,-6.516,0.0539,126.083,"1","1",157147,0.888,"4","0mc9y7m2lpmZSENtQ6G0Xo","italian hip hop","rap siciliano",NA,NA,NA,NA,NA
"11","Sembra quasi","Fulminacci","Tante care cose e altri successi",2022,"Spring",41,0.812,0.622,0.445,0,0.121,-8.161,0.0288,141.933,"11","0",198040,0.391,"4","5HxBuOgyDz5mNHzSAqV3QV","italian indie pop","italian pop","rome indie",NA,NA,NA,NA
"12","10K Scale","Tananai","Piccoli Boati",2020,"Winter",53,0.458,0.571,0.443,0,0.0994,-8.723,0.0653,76.005,"5","1",198157,0.266,"4","3WkjBJhPATpNsUF7rGSOwo","italian pop",NA,NA,NA,NA,NA,NA
"13","Sei acqua (feat. Calibro 35)","Venerus","Magica Musica",2021,"Winter",50,0.535,0.537,0.773,0.242,0.0859,-8.593,0.0628,144.018,"4","1",298645,0.387,"4","5cab2PPIUblXYqv1tptoK4","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"14","Bistrot","chiamamifaro","Bistrot",2021,"Spring",28,0.688,0.696,0.679,0,0.0905,-3.995,0.0324,131.866,"0","1",197529,0.438,"4","6BVYZ55BxhxYxOH4Tfid77",NA,NA,NA,NA,NA,NA,NA
"15","Horror","NASKA","REBEL",2022,"Spring",53,0.0282,0.455,0.677,0,0.564,-5.041,0.0338,179.981,"4","1",219846,0.266,"4","6fPGBlx8wsAxhoDn7BwiAH","emo rap italiano",NA,NA,NA,NA,NA,NA
"16","Ali sporche","Coez","Non erano fiori",2013,"Summer",52,0.609,0.637,0.519,0,0.112,-6.968,0.0395,128.081,"0","1",226506,0.488,"4","4iV8nThGfzAGRJtgwa7QmG","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA
"17","Ogni pensiero vola","Venerus","Magica Musica",2021,"Winter",44,0.473,0.626,0.604,0.00534,0.211,-6.994,0.0732,80.044,"8","0",233584,0.36,"4","5827FRbvRNgF7F1yNuvUbw","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"18","Angelina Jolie","Bresh","Angelina Jolie",2021,"Spring",61,0.073,0.681,0.691,0,0.113,-6.684,0.181,160.338,"4","0",169671,0.644,"4","0tD4EXZRm1JGDYWtKYFLWK","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"19","LA SAD ITALIANA","LA SAD","STO NELLA SAD",2022,"Winter",45,0.0424,0.38,0.868,0,0.484,-4.865,0.0629,84.382,"9","1",230787,0.648,"4","4aJJ9HEu9aE2LBmXFCCEtn",NA,NA,NA,NA,NA,NA,NA
"20","GIRASOLE","bnkr44","FARSI MALE A NOI VA BENE",2021,"Autumn",44,0.532,0.682,0.89,0,0.152,-4.986,0.0563,140.119,"1","0",197453,0.827,"4","6Q5BuRgXZOWItqzvZfjKxw","hyperpop italiano",NA,NA,NA,NA,NA,NA
"21","POVERO (feat. Fuera)","PSICOLOGI","MILLENNIUM BUG",2020,"Summer",35,0.0108,0.754,0.92,0,0.122,-6.145,0.0442,139.985,"5","0",195465,0.912,"4","2RNeHi2IFyexIupnT0xelU","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"22","Svuotatasche","Bresh","ORO BLU",2022,"Spring",59,0.369,0.489,0.367,0,0.198,-10.254,0.0878,131.302,"0","1",231602,0.524,"4","6I28wnb48iMVVfyTSf4lkx","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"23","Mille Macchine","Rareș","Mille Macchine",2021,"Winter",26,0.221,0.802,0.458,0.00686,0.396,-13.3,0.0358,120.028,"11","1",223333,0.685,"4","6g4IyxyxOIvjjVB4pieEzQ","r&b italiano",NA,NA,NA,NA,NA,NA
"24","Sparami nel petto","M.E.R.L.O.T","Sparami nel petto",2020,"Summer",33,0.255,0.646,0.474,0,0.205,-7.356,0.0311,131.997,"0","1",170454,0.371,"4","5CG0rQTvxNFEPwBny1gPNo","italian indie pop",NA,NA,NA,NA,NA,NA
"25","Paura di me","Axos","Paura di me",2022,"Spring",26,0.753,0.797,0.584,7.96e-05,0.125,-7.053,0.208,140.025,"6","1",156000,0.556,"4","32LeJWii472KYzCWwCQjiZ","italian hip hop",NA,NA,NA,NA,NA,NA
"26","Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU",2022,"Spring",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,"8","1",171437,0.705,"4","4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"27","Brazil","Venerus","Magica Musica",2021,"Winter",37,0.33,0.509,0.651,2.04e-05,0.0763,-8.066,0.0572,124.876,"1","1",268427,0.448,"4","2cPKdM4pDswVEgVmrTxsTw","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"28","CANCELLI DI MEZZANOTTE - MTV Unplugged","Rkomi","TAXI DRIVER (MTV Unplugged)",2021,"Autumn",36,0.851,0.464,0.36,0,0.106,-9.469,0.0416,147.635,"7","0",199003,0.308,"4","1cZK7K9ZtpCsE48bOSMz18","italian hip hop","italian pop",NA,NA,NA,NA,NA
"29","DDL ZAN CON I MIEI AMICI","Nello Taver","HO UCCISO L'HIP HOP ITALIANO",2022,"Summer",34,0.412,0.52,0.514,0,0.0642,-7.994,0.337,190.342,"1","1",158194,0.107,"5","2yULumpobSzyzcbCADdNhg","italian hip hop",NA,NA,NA,NA,NA,NA
"30","Occhi rossi","Coez","Volare",2022,"Spring",64,0.0746,0.545,0.477,0,0.0977,-6.021,0.0427,123.465,"11","1",177310,0.353,"4","5bvsNn7f4m0MTCuUQkMZGY","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA
"31","Una Ragazza Un Giorno Mi Ha Spezzato Il Cuore","Lil Busso","IPERMETROMONDO",2020,"Winter",38,0.154,0.972,0.505,4.46e-05,0.26,-6.918,0.32,117.977,"9","1",122033,0.498,"4","5xu6k82qkQVxbN85H1aCOk","italian hip hop",NA,NA,NA,NA,NA,NA
"32","APNEA - MTV Unplugged","Rkomi","TAXI DRIVER (MTV Unplugged)",2021,"Autumn",30,0.885,0.659,0.295,0,0.0776,-10.412,0.131,80.076,"10","0",205358,0.375,"4","3DP8cUzSO9tJx7tGShuS4c","italian hip hop","italian pop",NA,NA,NA,NA,NA
"33","Long Island","Dutch Nazari","Cori da sdraio",2022,"Spring",26,0.291,0.704,0.695,0,0.311,-7.733,0.226,140.061,"0","0",192019,0.874,"4","3CphNA94VuUoI5su2qxAD6","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"34","Pasta Rossa","chiamamifaro","Macchie",2021,"Summer",19,0.124,0.571,0.449,0,0.08,-5.803,0.0748,177.078,"9","1",208301,0.491,"4","4ZM0faoYcQViZmQYKUdpyc",NA,NA,NA,NA,NA,NA,NA
"35","Donald Trump","Mac Miller","Best Day Ever (5th Anniversary Remastered Edition)",2016,"Summer",75,0.0318,0.716,0.936,0,0.367,-4.968,0.123,81.508,"1","0",164522,0.799,"4","6Aa7aDayiQHnUw1dUvdneZ","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"36","L'Equivoco","Omega Storie","L'Equivoco",2022,"Summer",2,0.276,0.645,0.644,0,0.0997,-6.766,0.0976,81.467,"7","0",156000,0.177,"4","2FYPOGivArSejFg0j05cjh","r&b italiano",NA,NA,NA,NA,NA,NA
"37","Senontipiacefalostesso","L'Officina Della Camomilla","Senontipiacefalostesso Uno",2013,"Spring",35,0.764,0.338,0.308,0.000394,0.11,-10.483,0.0336,79.608,"2","1",329997,0.392,"4","7p9o3d1cZ7i4zbQbO84d35","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA
"38","CONSIDERANDO (feat. BLUEM)","Fuera","CIRCO MEZZALUNA",2022,"Spring",35,0.628,0.627,0.681,0.00146,0.116,-8.285,0.163,106.109,"5","0",172729,0.576,"4","1oIFiW7N0If3LakSZWwfqX","italian indie pop",NA,NA,NA,NA,NA,NA
"39","Appartamento (feat. Frah Quintale)","Venerus","Magica Musica",2021,"Winter",51,0.316,0.696,0.751,0,0.0833,-6.516,0.171,89.981,"0","0",208000,0.729,"4","3s9ZBjLh7E00qLtqlEPrRi","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"40","Domenica","chiamamifaro","Domenica",2020,"Autumn",26,0.126,0.508,0.795,0,0.117,-4.714,0.0898,186.272,"0","1",214995,0.265,"4","2lQGFIpD5MRghyrjW91LoR",NA,NA,NA,NA,NA,NA,NA
"41","BallaRe","GrenBaud","BallaRe",2022,"Summer",44,0.525,0.596,0.459,0,0.0948,-8.966,0.0349,93.074,"1","1",148524,0.135,"4","0Fm5sa4bKPzQAe8AWbKwAM",NA,NA,NA,NA,NA,NA,NA
"42","COMINCIA TU (feat. Rosa Chemical)","Tananai","COMINCIA TU (feat. Rosa Chemical)",2022,"Winter",54,0.0295,0.694,0.682,0,0.644,-4.735,0.0651,112.028,"9","0",149196,0.798,"4","00aZI3Ds8liGrcqEetsEYf","italian pop",NA,NA,NA,NA,NA,NA
"43","Campione Dei Novanta","Caparezza","Exuvia",2021,"Spring",44,0.158,0.703,0.844,0,0.168,-4.648,0.14,139.996,"10","0",271018,0.627,"4","5mhnyYQ0h9PcICiVj3lhYI","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA
"44","Aglio e olio","Fulminacci","Tante care cose e altri successi",2022,"Spring",59,0.535,0.735,0.529,0,0.19,-7.982,0.05,93.028,"11","1",225826,0.537,"4","3AvqtcseWAUMjxuHeUAfsn","italian indie pop","italian pop","rome indie",NA,NA,NA,NA
"45","Magicabula","JUNIOR CALLY","Magicabula",2017,"Autumn",51,0.187,0.537,0.891,0,0.149,-5.979,0.189,180.115,"7","0",157422,0.553,"3","4jPO7yrsX7sHXtME7cQ5M3","italian hip hop","italian pop",NA,NA,NA,NA,NA
"46","FALLIRÒ","gIANMARIA","FALLIRÒ",2022,"Winter",40,0.344,0.699,0.707,0,0.119,-4.432,0.179,140.089,"0","0",193874,0.633,"4","4stzXo6yNOYGeTIkniXGO7","emo trap italiana","italian pop",NA,NA,NA,NA,NA
"47","ESAGERATA","Tananai","ESAGERATA",2021,"Winter",43,0.0233,0.753,0.65,9.57e-05,0.104,-5.337,0.0545,115.013,"0","1",198782,0.407,"4","6yRqZK6gIT3zVu3y5JPcaF","italian pop",NA,NA,NA,NA,NA,NA
"48","Tre Metri Sotto Terra","Galeffi","Settebello",2020,"Spring",33,0.224,0.632,0.476,1.04e-06,0.108,-6.743,0.0284,115.058,"9","1",228000,0.183,"4","2JFigeDENxCO0xBA2ztCyR","italian indie pop","rome indie",NA,NA,NA,NA,NA
"49","IKEA","Dutch Nazari","Cori da sdraio",2022,"Spring",22,0.43,0.747,0.71,0.0026,0.103,-7.837,0.0523,119.938,"9","1",234796,0.28,"4","0pFOEdBT90CPA2UiQgsoto","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"50","FIORI MORTI","PSICOLOGI","TRAUMA",2022,"Spring",52,0.12,0.46,0.76,0,0.261,-5.729,0.131,175.968,"1","1",136313,0.642,"4","0Yoizi4nA5CE4d52jRwvld","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"51","Calm Down","Rema","Calm Down",2022,"Winter",79,0.376,0.811,0.781,0.001,0.121,-6.333,0.0428,107.007,"11","1",219813,0.824,"4","6hgoYQDUcPyCz7LcTUHKxa","afrobeats","nigerian pop",NA,NA,NA,NA,NA
"52","Tokyo","Fuera","Tokyo",2020,"Spring",33,0.134,0.626,0.816,0.0493,0.195,-6.117,0.0794,95.023,"0","0",224842,0.399,"4","22QipZjlD5NN7an8jDeFfg","italian indie pop",NA,NA,NA,NA,NA,NA
"53","Denti","M.E.R.L.O.T","Denti",2021,"Winter",31,0.0303,0.496,0.707,0.000307,0.0879,-8.764,0.0649,95.052,"6","0",178585,0.573,"4","3GhV7RABqsW9pnQpzEqXW7","italian indie pop",NA,NA,NA,NA,NA,NA
"54","Jeans (feat. PSICOLOGI)","Tauro Boys","TauroTape3",2021,"Autumn",36,0.0252,0.696,0.86,0,0.154,-5.056,0.0731,92.519,"8","0",166054,0.617,"4","60eKQ7Su1I1Oz3AMPIRbem","hyperpop italiano","italian hip hop",NA,NA,NA,NA,NA
"55","Chitarre blu","Fulminacci","Tante care cose e altri successi",2022,"Spring",43,0.752,0.676,0.417,4.03e-06,0.365,-8.383,0.252,79.957,"9","1",175946,0.486,"4","4dRj6pnAsmbcSteiAE9zMf","italian indie pop","italian pop","rome indie",NA,NA,NA,NA
"56","CUORI DI RAME","bnkr44","FARSI MALE A NOI VA BENE 2.0",2022,"Spring",31,0.0377,0.582,0.409,0,0.124,-7.025,0.0251,134.995,"4","1",187728,0.174,"4","5DeKrRK464TQocO0DlDFB6","hyperpop italiano",NA,NA,NA,NA,NA,NA
"57","Ma dai","M.E.R.L.O.T","Ma dai",2022,"Winter",35,0.314,0.651,0.276,0,0.399,-19.29,0.296,170,"2","1",151440,0.643,"4","5ZTb4qw53tf7JqFKd1S7G1","italian indie pop",NA,NA,NA,NA,NA,NA
"58","TUTTO BENE","PSICOLOGI","TRAUMA",2022,"Spring",45,0.0157,0.606,0.577,0.00128,0.0881,-7.793,0.0428,76.998,"5","0",199870,0.398,"4","2GwkOhcx2lkJRZbz8oHcc0","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"59","Dentro di Te","Simone Panetti","Profondo Rosa",2022,"Winter",36,0.228,0.599,0.713,0,0.104,-5.539,0.0552,73.058,"9","1",171641,0.338,"4","6X6BRvpa5Z9wW0SuxxlhmI","italian hip hop",NA,NA,NA,NA,NA,NA
"60","Monolocale","Galeffi","Settebello",2020,"Spring",44,0.186,0.659,0.499,0,0.173,-5.75,0.0262,75.052,"4","0",184000,0.465,"4","7qkYgOdbGqqFNpUcJ5QG5B","italian indie pop","rome indie",NA,NA,NA,NA,NA
"61","Un fatto tuo personale","Fulminacci","Tante care cose",2021,"Spring",44,0.229,0.757,0.77,0,0.304,-6.19,0.123,93.064,"11","0",195192,0.554,"4","4gB6E9f1EWrwLBQEo3wCHG","italian indie pop","italian pop","rome indie",NA,NA,NA,NA
"62","Technologic","Daft Punk","Human After All",2005,"Spring",57,0.000369,0.812,0.516,1.09e-05,0.0991,-6.963,0.224,127.498,"9","1",284280,0.633,"4","1iNeZGJsoC0D7ZyJTdIbDS","electro","filter house","rock",NA,NA,NA,NA
"63","TUTTO MATTO","Fuera","CIRCO MEZZALUNA",2022,"Spring",34,0.446,0.782,0.729,1.61e-05,0.105,-8.691,0.183,120.021,"3","0",158600,0.671,"4","0sqwOiE8E19Q2pOLHE7Heo","italian indie pop",NA,NA,NA,NA,NA,NA
"64","Caffè","Bresh","Caffè",2021,"Summer",40,0.0149,0.67,0.785,0,0.0934,-6.119,0.0424,94.509,"8","1",189108,0.534,"4","4V5gmy8imyB0TJwdIYuGRv","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"65","GIORNI VUOTI (feat. Tredici Pietro)","bnkr44","FARSI MALE A NOI VA BENE 2.0",2022,"Spring",38,0.31,0.634,0.717,0,0.115,-6.845,0.0698,145.059,"2","1",208938,0.355,"4","6bmdpmDvAsgqzgdAUl8toi","hyperpop italiano",NA,NA,NA,NA,NA,NA
"66","Pardonne-Moi","Silent Bob","Pardonne-Moi",2020,"Summer",50,0.125,0.619,0.657,0,0.111,-7.501,0.0776,113.917,"11","0",193684,0.331,"4","0A4UZuYCcjUIIiWJcACJ3p","italian hip hop",NA,NA,NA,NA,NA,NA
"67","CLOCHARD (feat. Taxi B & Dylan)","Sick Luke","X2",2022,"Winter",38,0.0761,0.843,0.747,1.13e-05,0.125,-5.667,0.186,136.983,"9","1",176391,0.477,"4","4kJ97QMRWWnvRrLPiKLxYQ","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"68","Edera","Omega Storie","L'Equivoco",2022,"Summer",2,0.187,0.585,0.68,0,0.148,-5.018,0.0901,89.788,"0","1",169333,0.399,"4","1NScG8rPMRo5Iv18wrrTRG","r&b italiano",NA,NA,NA,NA,NA,NA
"69","Come fossi andato via","Tredici Pietro","Come fossi andato via",2022,"Spring",30,0.218,0.864,0.522,0,0.466,-8.163,0.0795,99.945,"0","1",184273,0.388,"4","4yMtHYNOb3PVkdSRAvHmiP","italian hip hop",NA,NA,NA,NA,NA,NA
"70","SUI MURI","PSICOLOGI","SUI MURI",2021,"Winter",56,0.739,0.422,0.477,0,0.255,-8.12,0.0384,76.183,"11","1",181529,0.39,"4","5M3SYjElWjKlD3jgONFw4w","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"71","Golfo paradiso","chiello","OCEANO PARADISO",2021,"Autumn",40,0.5,0.414,0.637,0.00198,0.206,-10.487,0.0981,89.383,"2","1",188080,0.287,"4","7mT647FNabK6hnDHOOyWqU","italian hip hop",NA,NA,NA,NA,NA,NA
"72","s s s","Omega Storie","L'Equivoco",2022,"Summer",1,0.117,0.722,0.814,0.000547,0.129,-6.488,0.0381,121.019,"5","1",212728,0.375,"4","1ULR6V2JZTpXtvNng4luuL","r&b italiano",NA,NA,NA,NA,NA,NA
"73","Solito posto, Soliti guai","Tredici Pietro","Solito posto, Soliti guai",2022,"Spring",32,0.226,0.924,0.796,8.63e-06,0.205,-4.507,0.0929,128.03,"11","1",153370,0.837,"4","11AHUBdyb7DZGYuWBJlCgi","italian hip hop",NA,NA,NA,NA,NA,NA
"74","MANI STRETTE","bnkr44","FARSI MALE A NOI VA BENE 2.0",2022,"Spring",26,0.0781,0.648,0.86,0,0.29,-6.189,0.052,141.964,"3","1",209026,0.934,"4","4FNICFI8O7wUDVD5bPvt3C","hyperpop italiano",NA,NA,NA,NA,NA,NA
"75","U2","Ernia","Gemelli",2021,"Winter",39,0.201,0.93,0.642,0.0237,0.135,-4.422,0.0832,126.98,"11","0",164409,0.674,"4","3ZIlInOT1wCj80HAeMduJf","italian hip hop","italian pop","milan indie",NA,NA,NA,NA
"76","Il meglio di te","Bresh","Il meglio di te",2022,"Summer",53,0.104,0.722,0.592,9.89e-06,0.293,-6.161,0.0805,81.989,"4","0",157013,0.552,"4","2eTXrwuncNqUOAxw2YJ8lv","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"77","L'Alcol Non È Un Problema","Silent Bob","L'Alcol Non È Un Problema",2022,"Spring",60,0.0771,0.634,0.703,0,0.11,-5.992,0.0357,135.02,"11","0",186666,0.276,"4","6v8F1kG6WmK40OkiQ1TDZL","italian hip hop",NA,NA,NA,NA,NA,NA
"78","Mentre dormi","IRBIS 37","Un altro cielo",2020,"Winter",32,0.568,0.667,0.638,0,0.0928,-7.94,0.181,82.807,"11","0",165331,0.416,"4","7KJszulDQDvHmyiXXQtjrm","italian indie pop","r&b italiano",NA,NA,NA,NA,NA
"79","7 su 7","NASKA","REBEL",2022,"Spring",49,0.00246,0.443,0.895,0,0.318,-4.85,0.198,183.147,"11","1",147586,0.801,"4","2E27zWyPLrjq2d38bOC2Xn","emo rap italiano",NA,NA,NA,NA,NA,NA
"80","E yo mamma","Coez","Faccio un casino",2017,"Spring",57,0.838,0.711,0.232,0,0.0844,-10.165,0.0795,139.785,"0","1",201853,0.361,"4","2ZoeyU8BudZBCyFOR8d5kw","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA
"81","POLKA 3","Rosa Chemical","POLKA 3",2022,"Summer",47,0.0351,0.72,0.78,0,0.146,-5.173,0.279,124.046,"5","1",160645,0.666,"4","2vAyFmd5LfkSCIHA8uuya1","italian hip hop","italian pop",NA,NA,NA,NA,NA
"82","Alghe","Bais","APNEA",2020,"Autumn",30,0.473,0.693,0.451,0,0.108,-9.452,0.0271,86.961,"6","1",212456,0.606,"4","4e3mbdke69KFrD30hvGdKX","r&b italiano",NA,NA,NA,NA,NA,NA
"83","Ascolta","gIANMARIA","Ascolta",2021,"Summer",51,0.544,0.852,0.416,1.07e-05,0.0939,-9.306,0.268,126.966,"0","1",154960,0.736,"4","2tX4EAq6MsQcncVfrNE1EP","emo trap italiana","italian pop",NA,NA,NA,NA,NA
"84","Non lasciarmi cadere","chiello","OCEANO PARADISO",2021,"Autumn",48,0.86,0.437,0.309,0,0.155,-9.561,0.0405,131.012,"2","1",146223,0.309,"4","3j6JJZs12M8UBx8b9GZ9T1","italian hip hop",NA,NA,NA,NA,NA,NA
"85","KANYE WEST (feat. Bresh)","Camilla Magli","KANYE WEST (feat. Bresh)",2022,"Summer",39,0.132,0.479,0.723,0,0.0976,-7.394,0.165,78.796,"8","0",188502,0.452,"4","76V4fmBYiVqpOJB6GC3SHA",NA,NA,NA,NA,NA,NA,NA
"86","Yolandi","Skioffi","Yolandi",2022,"Spring",54,0.0918,0.566,0.45,0.0155,0.113,-8.039,0.0367,179.177,"1","0",194374,0.483,"3","0ZrNUVO0oVaSc7e8L8aPsd","emo rap italiano","italian pop",NA,NA,NA,NA,NA
"87","TATUAGGI (feat. ARIETE)","PSICOLOGI","MILLENNIUM BUG X",2021,"Spring",32,0.335,0.607,0.688,0,0.16,-6.072,0.0968,94.988,"5","1",185986,0.642,"4","5v2G00KXdEJYj2Xqu0QHY3","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"88","COLPA TUA ⫷⫸ (con VENERUS & GUÈ PEQUENO)","MACE","OBE",2021,"Winter",48,0.577,0.483,0.564,2.19e-05,0.103,-7.887,0.331,81.287,"6","1",184525,0.414,"3","3ILta8SPlsWdOueRYzc5mL","funk carioca","italian hip hop","italian pop",NA,NA,NA,NA
"89","CHILLZONE","Zoda","AUTORITRATTO",2022,"Summer",28,0.42,0.792,0.593,0.102,0.113,-8.265,0.194,130.009,"4","0",130153,0.557,"4","4PEfHhSWf1kwjQ5SrEl4s6","italian hip hop",NA,NA,NA,NA,NA,NA
"90","Presto (feat. Franco126)","Generic Animal","Presto",2020,"Winter",29,0.474,0.594,0.412,0,0.16,-8.239,0.122,110.111,"8","1",196826,0.383,"4","6SRo055q7f6paLDEHGVNJd","emo rap italiano","indie rock italiano","italian alternative","italian indie pop","milan indie","r&b italiano",NA
"91","Cazzi Miei","GrenBaud","Cazzi Miei",2020,"Summer",30,0.414,0.465,0.413,0,0.111,-14.484,0.295,179.74,"9","0",202666,0.386,"4","2KeT4pRjI7HLEdV2vZovzc",NA,NA,NA,NA,NA,NA,NA
"92","INCUBO","PSICOLOGI","MILLENNIUM BUG X",2021,"Spring",50,0.0513,0.476,0.703,0,0.0753,-7.792,0.29,84.072,"2","1",184588,0.595,"4","4TEAvWnhZwSf7EabqKCf6y","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"93","Vedova Nera","Silent Bob","Piove Ancora",2021,"Autumn",63,0.355,0.419,0.508,0,0.115,-8.13,0.0419,106.977,"5","0",192000,0.53,"3","03f5a1nr1YqewRSSBxeB0k","italian hip hop",NA,NA,NA,NA,NA,NA
"94","Doom","Nayt","DOOM",2021,"Autumn",55,0.713,0.503,0.493,0.000625,0.238,-10.849,0.0341,89.295,"7","1",127248,0.0612,"4","6lb1rcBfpEUmoGvbWhBxFL","italian hip hop",NA,NA,NA,NA,NA,NA
"95","Panche","GrenBaud","Panche",2021,"Spring",37,0.324,0.751,0.545,0,0.147,-7.134,0.0391,83.091,"2","1",166265,0.48,"4","1CPLQe0k4KpLuyDojVt32k",NA,NA,NA,NA,NA,NA,NA
"96","ROCK IN ROMA","FUCKYOURCLIQUE","ROCK IN ROMA",2022,"Summer",45,0.129,0.915,0.638,0,0.182,-7.381,0.245,120.011,"7","1",151250,0.914,"4","1dk7Ewa8ns8C64laHp0xgj","hyperpop italiano",NA,NA,NA,NA,NA,NA
"97","Solletico (feat. Tedua & The Night Skinny)","Rkomi","Ossigeno - EP",2018,"Summer",59,0.0493,0.554,0.724,0,0.1,-6.537,0.187,148.526,"1","1",186066,0.34,"4","6gan8nbS78t2sUy0M9UpAX","italian hip hop","italian pop",NA,NA,NA,NA,NA
"98","Little Freak","Harry Styles","Harry's House",2022,"Spring",80,0.719,0.559,0.535,0.000143,0.0954,-7.723,0.039,141.96,"3","1",202183,0.402,"4","3i058E8uxTsYqJ5NWZzqSj","pop",NA,NA,NA,NA,NA,NA
"99","Prima o poi","GrenBaud","Prima o poi",2019,"Autumn",38,0.315,0.731,0.727,0,0.132,-4.439,0.0379,98.038,"2","1",210612,0.325,"4","2kLeBoh5vTQkCbiQ5QDK8p",NA,NA,NA,NA,NA,NA,NA
"100","Addio sul serio","chiamamifaro","Addio sul serio",2021,"Winter",22,0.623,0.647,0.674,0,0.112,-4.758,0.0451,143.955,"4","1",204609,0.636,"4","0hPJkAuxZXnVCIEJPsAOaD",NA,NA,NA,NA,NA,NA,NA
"101","Come Mi Guardi (con Madame, Coez & Bresh)","Night Skinny","Botox",2022,"Autumn",54,0.572,0.759,0.555,0,0.109,-8.065,0.174,122.023,"7","1",213495,0.295,"4","1IRllh4V0h8MUGEHROZvhe","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA
