"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"1","That's Hilarious","Charlie Puth","CHARLIE","2022","Autumn",74,0.739,0.713,0.442,0,0.112,-5.909,0.0604,108.038,"6","1",144933,0.546,"4","0wPKDeY4fZXT6k9bzV0kx0","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"2","Ladro Di Fiori","BLANCO","Blu Celeste","2021","Autumn",56,0.37,0.596,0.763,0,0.483,-5.367,0.0703,96.189,"1","0",188125,0.606,"4","18E4wq8is4m6wL8HxrEaQ9","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"3","Light Switch","Charlie Puth","CHARLIE","2022","Autumn",79,0.105,0.689,0.627,0.000321,0.0905,-5.692,0.308,184.008,"6","1",187703,0.905,"4","1jEBSDN5vYViJQr78W7jr2","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"4","Ghost","Justin Bieber","Justice","2021","Spring",89,0.185,0.601,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,"2","1",153190,0.441,"4","6I3mqTwhRpn34SLVafSH7G","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA
"5","Finché Non Mi Seppelliscono","BLANCO","Blu Celeste","2021","Autumn",67,0.349,0.727,0.833,0,0.232,-2.594,0.0316,130.024,"4","1",168000,0.86,"4","16EJNayKtC09M0Fi7Py47s","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"6","LA CODA DEL DIAVOLO (con ELODIE)","Rkomi","TAXI DRIVER","2021","Autumn",68,0.132,0.481,0.748,7.77e-06,0.126,-6.007,0.356,128.777,"6","0",188975,0.549,"4","6oYcyS6salzWI1ysjEScFh","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"7","I Don’t Think That I Like Her","Charlie Puth","CHARLIE","2022","Autumn",70,0.396,0.587,0.548,0,0.109,-5.846,0.0339,186.073,"8","0",188507,0.713,"4","3iLBFgaQJ94iarMgzrTuWb","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"8","Easy (feat. Fivio Foreign)","Sfera Ebbasta","Italiano","2022","Spring",56,0.189,0.738,0.681,0,0.0983,-6.313,0.163,144.926,"8","0",206101,0.546,"4","0DpTRR4HyiDJH4Waoj9hXU","italian hip hop","italian pop","trap italiana","trap latino",NA,NA,NA,NA,NA
"9","DIO PERDONAMI (64 Bars)","Various Artists","Red Bull 64 Bars, The Album","2021","Spring",56,0.348,0.707,0.803,0,0.178,-4.071,0.265,119.628,"7","1",150250,0.645,"4","5O6w2iUCO0z1n7jXXF0H8b",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BABY GODDAMN","Tananai","BABY GODDAMN","2021","Spring",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,"10","0",149605,0.885,"4","3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"11","Suffer","Charlie Puth","Nine Track Mind","2016","Winter",56,0.75,0.58,0.443,0,0.0742,-7.323,0.0498,175.938,"3","0",210680,0.576,"3","60wzbPwV6EHfBTAf95rb9n","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"12","Tienimi stanotte","Luigi Strangis","Strangis","2022","Summer",58,0.118,0.571,0.876,0,0.367,-4.993,0.204,154.992,"2","1",204692,0.603,"4","1B1b3WvN7AuGW5hQeH5KTn",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Paraocchi","BLANCO","Blu Celeste","2021","Autumn",61,0.0136,0.566,0.938,0,0.1,-4.387,0.0709,143.126,"9","1",156083,0.753,"4","40zkeKA3HRN8Nzo6kbNOCp","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"14","Mezzanotte","Ana Mena","Mezzanotte","2022","Summer",57,0.058,0.757,0.737,0,0.173,-3.175,0.0511,129.941,"6","1",165230,0.705,"4","3hXAHE8hVhksnZjVlCj6Jn","spanish pop",NA,NA,NA,NA,NA,NA,NA,NA
"15","Cheating on You","Charlie Puth","Cheating on You","2019","Autumn",79,0.0131,0.749,0.535,3.65e-05,0.0982,-6.785,0.0336,123.042,"4","1",196606,0.601,"4","0ClPIeT6MSgfSgQ9ZrJbAq","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"16","Occhi Lucidi","Leon Faun","Occhi Lucidi","2020","Winter",44,0.264,0.701,0.541,0,0.118,-6.403,0.21,185.511,"2","0",144838,0.834,"3","7dYgzrhdIIjTQTvUjlrWxa","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"17","Mezz’Ora Di Sole","BLANCO","Blu Celeste","2021","Autumn",60,0.606,0.677,0.679,0,0.17,-4.476,0.0504,124.421,"8","0",118185,0.402,"4","0GMrDNkDnTcSX7NDJoCj64","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"18","Italiano Anthem","Sfera Ebbasta","Italiano Anthem","2022","Spring",57,0.0619,0.555,0.613,0,0.198,-6.746,0.0368,131.922,"4","0",135934,0.0988,"4","0oMq1JmynUHMCOfH40k7B8","italian hip hop","italian pop","trap italiana","trap latino",NA,NA,NA,NA,NA
"19","BOY","Charlie Puth","Voicenotes","2018","Spring",58,0.149,0.725,0.77,2.17e-05,0.0641,-6.24,0.0539,93.009,"1","1",263413,0.647,"4","7aSvPfoqiM0zwPqupLGaHd","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"20","Love Me","Justin Bieber","My World","2009","Winter",71,0.00939,0.729,0.868,0,0.283,-3.319,0.0609,124.957,"3","1",191573,0.632,"4","0yIywEquxORnu1dR0WYsdN","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA
"21","Brividi","Mahmood","Brividi","2022","Winter",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,"7","1",199146,0.342,"4","1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"22","farfalle","sangiovanni","farfalle","2022","Winter",59,0.0927,0.733,0.784,0,0.195,-5.211,0.0606,120.016,"3","1",164000,0.377,"4","5HujDMiRNqZwEzVAh3oFD3","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"23","How Long","Charlie Puth","Voicenotes","2018","Spring",80,0.211,0.845,0.561,3.49e-06,0.0383,-5.253,0.0778,109.974,"1","0",200853,0.811,"4","6wmAHw1szh5RCKSRjiXhPe","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"24","Chupa Chupa","VillaBanks","Non Lo So","2019","Autumn",59,0.104,0.942,0.544,1.33e-06,0.0721,-6.71,0.238,100.003,"5","1",124950,0.757,"4","62yfVDs0Vw3lpDLKDjCW0G","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"25","Lucciole","BLANCO","Blu Celeste","2021","Autumn",55,0.852,0.737,0.435,0,0.0987,-7.301,0.0546,123.082,"1","0",176097,0.466,"4","7HmgMA9PqikUtSG4eusHy2","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"26","SOLITE PARE (feat. thasup & Sfera Ebbasta)","Sick Luke","X2","2022","Winter",65,0.282,0.66,0.79,0,0.299,-4.344,0.0537,111.071,"9","0",211660,0.556,"3","0PQxC8NHgiKXLK3Zm6QoCj","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA
"27","Left and Right (Feat. Jung Kook of BTS)","Charlie Puth","Left and Right (Feat. Jung Kook of BTS)","2022","Summer",79,0.619,0.881,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,"2","1",154486,0.719,"4","0mBP9X2gPCuapvpZ7TGDk3","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"28","Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","Voulez-Vous","1979","missing",83,0.02,0.749,0.491,0.00899,0.159,-9.655,0.0403,119.528,"10","1",292613,0.536,"4","3vkQ5DAB1qQMYO4Mr9zJN6","europop","swedish pop",NA,NA,NA,NA,NA,NA,NA
"29","Afrodite","BLANCO","Blu Celeste","2021","Autumn",53,0.604,0.541,0.582,0,0.371,-4.507,0.0315,80.066,"2","1",192000,0.189,"4","5AfqbfOmAdHHxckT0bkAlz","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"30","Hace Calor - Remix","Kaleb Di Masi","Hace Calor (Remix)","2022","Summer",68,0.367,0.889,0.618,0.00438,0.105,-5.124,0.0627,130.021,"5","0",247384,0.444,"4","3h043RAJ7tKaG1HDFeet6w","cumbia 420","rkt",NA,NA,NA,NA,NA,NA,NA
"31","Dangerously","Charlie Puth","Nine Track Mind","2016","Winter",78,0.364,0.696,0.517,0,0.197,-8.379,0.0366,112.291,"2","0",199133,0.23,"3","3qonjOrhFCfTnaaMruHzxW","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"32","IDGAF","Dua Lipa","Dua Lipa (Deluxe)","2017","Summer",82,0.0403,0.836,0.544,0,0.0824,-5.975,0.0943,97.028,"7","1",217946,0.51,"4","76cy1WJvNGJTj78UqeA5zr","dance pop","pop","uk pop",NA,NA,NA,NA,NA,NA
"33","Nostalgia","BLANCO","Nostalgia","2022","Summer",64,0.0372,0.644,0.904,0,0.0767,-3.749,0.0605,130.061,"0","1",182307,0.562,"4","22gH5Qg5j5ZzF7LaR7Nrkj","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"34","LONDRA","Rosa Chemical","FOREVER","2020","Spring",47,0.0545,0.683,0.806,0,0.0618,-4.348,0.0521,106.018,"7","1",194779,0.522,"4","1zBr4jTyegVrBeGUgZgy7l","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"35","The Way I Am","Charlie Puth","Voicenotes","2018","Spring",67,0.314,0.755,0.769,2.38e-06,0.0628,-5.658,0.186,114.966,"10","0",186080,0.642,"4","6qNALlmZa1ESnCxJmXE1K9","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"36","Non Voglio Cambiarti","Giunta","Non Voglio Cambiarti","2022","Summer",4,0.347,0.696,0.866,0,0.132,-3.301,0.171,99.954,"0","1",164257,0.787,"4","2UHyjwk5sw4tAoWot9Yq2Q",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Sai Cosa C’è","BLANCO","Blu Celeste","2021","Autumn",53,0.217,0.502,0.778,0,0.0756,-4.029,0.113,157.923,"3","1",149050,0.687,"4","3NI4VgVswVf503sOiZvv4m","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"38","Vieni nel mio cuore","Ultimo","Vieni nel mio cuore","2022","Spring",57,0.248,0.677,0.66,0,0.177,-7.104,0.0462,127.087,"1","1",172761,0.253,"4","0OHD6Ask31KqVqxge0OwlG","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"39","No More Drama","Charlie Puth","CHARLIE","2022","Autumn",58,0.693,0.555,0.648,0.000644,0.128,-6.539,0.296,195.887,"11","0",140041,0.641,"4","2g3afkZqrBxT9RWNSPSWa7","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"40","Hailey","Justin Bieber","Justice (The Complete Edition)","2021","Autumn",66,0.0367,0.462,0.745,0,0.0795,-6.588,0.0699,100.042,"0","0",193354,0.254,"4","23EquxExXkNmGCCY96P0Iu","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA
"41","Blu Celeste","BLANCO","Blu Celeste","2021","Autumn",59,0.921,0.688,0.442,0,0.366,-5.611,0.0354,116.463,"9","1",206379,0.252,"4","0BeXxjO6mgLDzg4xA6UheO","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"42","Mamma Mia","Sfera Ebbasta","Italiano","2022","Spring",54,0.042,0.762,0.609,2.78e-06,0.25,-5.934,0.0369,99.971,"8","0",166796,0.266,"4","26UdsVIpWmlfa3NfvDWC7U","italian hip hop","italian pop","trap italiana","trap latino",NA,NA,NA,NA,NA
"43","Smells Like Me","Charlie Puth","CHARLIE","2022","Autumn",55,0.329,0.602,0.565,0,0.0622,-6.498,0.0498,208.038,"11","1",204079,0.609,"4","0OM84HfW4XX1kmwCMDPmcS","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"44","Is There Someone Else?","The Weeknd","Dawn FM","2022","Winter",87,0.0388,0.702,0.586,7.27e-05,0.156,-7.83,0.0313,134.951,"9","0",199111,0.608,"4","0mL82sxCRjrs3br407IdJh","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA
"45","Pornografia (Bianco Paradiso)","BLANCO","Blu Celeste","2021","Autumn",56,0.236,0.481,0.912,0,0.556,-2.373,0.0764,165.031,"7","1",158606,0.748,"4","7vWjyIST4LV6AOJsI0lolL","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"46","Partirò da zero","Luigi Strangis","Strangis","2022","Summer",35,0.114,0.464,0.872,0,0.0742,-3.806,0.0717,148.222,"5","1",167174,0.364,"4","3zdyaT6AYNUuqX1iHBwpzs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","River","Charlie Puth","Nine Track Mind (Deluxe Edition)","2016","Autumn",53,0.838,0.775,0.329,0,0.108,-6.962,0.034,100.034,"4","0",191360,0.252,"4","3ZAbzT3EIBAM4pDB6pD8V6","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"48","Die For You","The Weeknd","Starboy","2016","Autumn",85,0.111,0.582,0.525,0,0.134,-7.163,0.0627,133.249,"1","0",260252,0.51,"4","2Ch7LmS7r2Gy2kc64wv3Bz","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA
"49","David","BLANCO","Blu Celeste","2021","Autumn",47,0.344,0.517,0.744,7.79e-06,0.446,-4.281,0.0508,92.927,"9","0",193548,0.295,"4","5ywyHzNUe5Jc1qg44fio5x","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"50","Propaganda","Fabri Fibra","Caos","2022","Spring",57,0.0372,0.894,0.778,0,0.178,-3.868,0.0881,105.015,"4","0",213506,0.888,"4","6t0ovtgnoAq9orbnisSzZp","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA
