"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"51","Charlie Be Quiet!","Charlie Puth","CHARLIE","2022","Autumn",59,0.205,0.753,0.662,3.66e-06,0.0851,-4.25,0.0702,94.958,"8","1",128364,0.466,"4","3E9es0SK2EusrHA7IaO7Zu","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"52","Oh Cacchio","Leon Faun","Oh Cacchio","2019","Autumn",51,0.235,0.796,0.69,0,0.154,-11.431,0.319,100.131,"7","1",129624,0.604,"4","10y452DRiLSzDQAcX2Ek2j","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"53","Figli Di Puttana","BLANCO","Blu Celeste","2021","Autumn",49,0.366,0.575,0.891,0,0.13,-2.627,0.136,175.053,"11","1",133200,0.723,"4","6LcCFhsX2QjDD1lILjdBnv","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"54","Niente","Ultimo","Solo","2021","Autumn",56,0.384,0.646,0.785,0,0.0834,-4.466,0.0604,139.909,"11","0",238546,0.344,"4","7l87A53SidoE3XQ1aaG7Qt","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"55","Loser","Charlie Puth","CHARLIE","2022","Autumn",56,0.623,0.698,0.623,0.0856,0.179,-7.845,0.037,102.002,"8","0",204376,0.625,"4","4oTn7ylKtjeMYwxatEVFAt","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"56","cielo dammi la luna","sangiovanni","CADERE VOLARE","2022","Spring",48,0.796,0.379,0.345,0,0.103,-6.468,0.0438,169.807,"1","0",154271,0.523,"3","2bIChMeF4rVtioVGcyYU8f","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"57","LA CANZONE NOSTRA ⟁ (con BLANCO & Salmo)","MACE","LA CANZONE NOSTRA ⟁ (con BLANCO & Salmo)","2021","Winter",57,0.12,0.656,0.678,1.86e-05,0.147,-6.851,0.0507,129.871,"5","0",237613,0.166,"3","0aQi1JGO1oKWEmKGfvf8TF","funk carioca","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"58","This Is The Life","Amy Macdonald","This Is The Life (eDeluxe)","2007","Winter",81,0.259,0.628,0.882,0,0.065,-5.024,0.0323,95.083,"1","0",184413,0.853,"4","2T3jgoAMbBXiMMD8pSc6QL","scottish singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA
"59","Somebody Told Me","Charlie Puth","Voicenotes","2018","Spring",53,0.101,0.592,0.839,0,0.0528,-4.944,0.0564,168.501,"1","0",216053,0.457,"4","1PuQTv1Kr1gzLgVeATSuh6","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"60","Piccola Stella","Ultimo","Colpa Delle Favole","2019","Spring",68,0.341,0.487,0.465,0,0.111,-8.019,0.0474,179.907,"2","1",232666,0.288,"3","6sLBJkMyZIkGevtpYgeotT","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"61","Cold Heart - PNAU Remix","Elton John","The Lockdown Sessions","2021","Autumn",82,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,"1","1",202735,0.934,"4","6JIC3hbC28JZKZ8AlAqX8h","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA,NA
"62","Off My Face","Justin Bieber","Justice (The Complete Edition)","2021","Autumn",51,0.92,0.509,0.228,0,0.104,-8.68,0.0332,90.674,"4","1",156467,0.586,"4","3Ic8V1CEjOY53OVpo2k1Ap","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA
"63","Slow It Down","Charlie Puth","Voicenotes","2018","Spring",57,0.264,0.733,0.754,0,0.131,-3.392,0.0593,115.024,"0","0",190053,0.849,"4","6TapyDFlRUlZ4cmIaqJx4k","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"64","Un mondo d'amore","Gianni Morandi","Questa E La Storia: Andavo A Cento All'ora","1994","Autumn",26,0.229,0.355,0.33,0,0.0362,-11.94,0.0301,82.962,"0","1",162106,0.653,"4","6OxceRyD6eeuF8kkjyBCSc","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA
"65","Late Night Talking","Harry Styles","Harry's House","2022","Spring",86,0.298,0.714,0.728,0,0.106,-4.595,0.0468,114.996,"10","1",177954,0.901,"4","1qEmFfgcLObUfQm0j1W2CK","pop",NA,NA,NA,NA,NA,NA,NA,NA
"66","Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd","After Hours (Deluxe)","2020","Spring",83,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,"0","1",191013,0.593,"4","1oFAF1hdPOickyHgbuRjyX","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA
"67","When You’re Sad I’m Sad","Charlie Puth","CHARLIE","2022","Autumn",51,0.887,0.65,0.225,0,0.125,-11.826,0.0629,77.279,"1","1",174036,0.406,"4","4JC4Gj3DcAkwh9rvBeYoXy","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"68","Good In Bed","Dua Lipa","Future Nostalgia","2020","Spring",60,0.138,0.68,0.701,0.000191,0.168,-5.001,0.0917,94.06,"5","1",218754,0.649,"4","6uAFJ75WDAoAPyCWJAtvks","dance pop","pop","uk pop",NA,NA,NA,NA,NA,NA
"69","Domani che fai?","Will","Domani che fai?","2022","Winter",41,0.448,0.64,0.719,0,0.0906,-6.001,0.057,172.47,"2","1",188173,0.5,"3","0Ndbfh9wjlvBDtGtRFOvyh","italian pop","pop virale italiano",NA,NA,NA,NA,NA,NA,NA
"70","Non mi diverto (feat. MamboLosco)","DJ Matrix","Musica da giostra Vol. 9","2022","Summer",47,0.0502,0.932,0.652,0,0.0575,-3.138,0.226,100.014,"9","0",165600,0.673,"4","23Glc0ZuQGJYQNcMyg3ge5","italian adult pop","italian pop","italo dance",NA,NA,NA,NA,NA,NA
"71","Been You","Justin Bieber","Purpose (Deluxe)","2015","Autumn",58,0.0223,0.74,0.781,0,0.321,-6.204,0.07,113.021,"7","0",199226,0.861,"4","6gcA4zzG6FnMEgPSDKbAMs","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA
"72","Pensa","Various Artists","Sanremo 2007","2007","Spring",37,0.126,0.685,0.791,0,0.0679,-5.532,0.0316,92.017,"0","1",225986,0.646,"4","21eimqDW4tvXXTfqGAvI16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Gotham","Ernia","Come Uccidere Un Usignolo","2017","Summer",48,0.368,0.862,0.621,1.38e-06,0.134,-10.717,0.436,119.835,"1","1",178000,0.401,"4","30qcU0IsKJFVTgKQSFcOXb","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA,NA
"74","Ossigeno","Rkomi","Ossigeno - EP","2018","Summer",50,0.0323,0.694,0.63,0,0.229,-6.171,0.156,98.168,"7","1",180600,0.252,"4","3XN4GUi9JaQvPdXJNAAo2C","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"75","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","2018","Winter",71,0.165,0.792,0.895,0,0.0501,-3.112,0.0589,94.968,"1","0",201526,0.794,"4","4QtiVmuA88tPQiCOHZuQ5b","latin pop","latin viral pop","mexican pop","reggaeton",NA,NA,NA,NA,NA
"76","telepatía","Kali Uchis","Sin Miedo (del Amor y Otros Demonios) ∞","2020","Winter",85,0.112,0.653,0.524,0,0.203,-9.016,0.0502,83.97,"11","0",160191,0.553,"4","6tDDoYIxWvMLTdKpjFkc1B","colombian pop",NA,NA,NA,NA,NA,NA,NA,NA
"77","PASTA","Tananai","PASTA","2022","Summer",45,0.0675,0.871,0.748,0.0184,0.275,-4.4,0.166,105.018,"6","0",129142,0.517,"4","5s7DyFhIKaE6ZLpjbZ1VNL","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"78","Less Than Zero","The Weeknd","Dawn FM","2022","Winter",80,0.00096,0.535,0.791,0.000155,0.0788,-5.55,0.0327,142.981,"0","1",211814,0.5,"4","2D4dV2KXDTszzJ3p3cFqhA","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA
"79","Marks On My Neck","Charlie Puth","CHARLIE","2022","Autumn",51,0.2,0.855,0.607,1.84e-05,0.0723,-8.587,0.0422,142.002,"1","1",138159,0.943,"4","55ruPNJ55uKjtm77nf3lPD","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"80","Quei ragazzi","Ultimo","Solo","2021","Autumn",46,0.0325,0.419,0.695,0,0.0883,-4.725,0.22,195.725,"11","1",205413,0.567,"4","1HnUnEY0slQKsVKekaqZ5I","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"81","Deserve You","Justin Bieber","Justice","2021","Spring",65,0.0314,0.677,0.633,0,0.112,-7.831,0.0771,89.934,"7","1",187238,0.409,"4","5NU40QTlXrDUJzDBdv79bg","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA
"82","Out of Time","The Weeknd","Dawn FM","2022","Winter",81,0.255,0.65,0.76,0,0.339,-4.422,0.0446,93.057,"0","0",214193,0.838,"4","2SLwbpExuoBDZBpjfefCtV","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA
"83","LA DOLCE VITA","Fedez","LA DOLCE VITA","2022","Summer",62,0.0124,0.737,0.858,0,0.382,-3.589,0.0527,144.991,"8","1",187862,0.919,"4","0I0b7uTFfHhBz5bMkSDouF","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"84","Il bambino che contava le stelle","Ultimo","Solo","2021","Autumn",56,0.758,0.707,0.39,0,0.17,-6.81,0.0419,89.9,"6","0",147973,0.439,"4","06RGdoTHoxRRIadjK6l8hx","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"85","Tears On My Piano","Charlie Puth","CHARLIE","2022","Autumn",54,0.239,0.562,0.729,1.33e-05,0.111,-5.503,0.0926,192.168,"1","0",181385,0.831,"4","7mWBvNosCez1ry9f1ba197","pop","viral pop",NA,NA,NA,NA,NA,NA,NA
"86","Shakerando","Rhove","Shakerando","2021","Winter",66,0.764,0.855,0.805,0.00708,0.302,-5.651,0.191,135.009,"7","0",195555,0.469,"4","4EC028SvtlC25iHQSG2OIa","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"87","Hallucinate","Dua Lipa","Future Nostalgia","2020","Spring",68,0.033,0.627,0.69,0,0.0742,-5.396,0.139,122.053,"10","0",208505,0.627,"4","1nYeVF5vIBxMxfPoL0SIWg","dance pop","pop","uk pop",NA,NA,NA,NA,NA,NA
"88","L'unica forza che ho","Ultimo","Pianeti","2017","Autumn",57,0.804,0.48,0.415,0,0.109,-10.181,0.213,170.226,"2","1",243146,0.244,"4","2dlBfRhSt8Zpnb9IJ5eh3m","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"89","Senza Di Me (feat. Venerus & Franco126)","Gemitaiz","Senza Di Me","2018","Winter",66,0.167,0.698,0.636,0,0.125,-5.844,0.034,107.282,"8","1",201961,0.313,"3","3xGD5KhnizETt7KQwxtUAc","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"90","Home","Ricky Rosen","Home","2022","Spring",41,0.465,0.615,0.431,0,0.25,-8.003,0.124,137.718,"7","0",184774,0.426,"4","57oBl5Jzy76UWlmUazqzJx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Beethoven","Kenndog","Beethoven","2021","Summer",64,0.15,0.874,0.652,6.34e-06,0.106,-8.915,0.114,102.963,"9","0",144587,0.503,"4","7rYCenkV4OXJgiUuKrhDCb","viral rap",NA,NA,NA,NA,NA,NA,NA,NA
"92","Buongiorno vita","Ultimo","Solo","2021","Autumn",51,0.59,0.559,0.541,0,0.152,-5.451,0.0431,145.169,"7","1",190840,0.48,"4","14rcy4M0wqiPHiCaT8U1Ju","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"93","Riflessi - Acoustic","Luigi Strangis","Strangis","2022","Summer",29,0.797,0.562,0.643,0,0.277,-4.974,0.127,65.716,"7","1",124373,0.67,"4","1lAnWVlaPuHF3b83GvDDQl",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","You Are Not Alone","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I","1995","Summer",70,0.639,0.651,0.402,7.73e-05,0.0765,-9.303,0.028,119.873,"11","1",345600,0.258,"4","3AoeaZs8dFemFJr3JdzOL0","r&b","soul",NA,NA,NA,NA,NA,NA,NA
"95","La più bella","Mecna","La più bella","2021","Autumn",53,0.371,0.753,0.705,1.61e-06,0.114,-5.393,0.114,108.007,"1","0",201250,0.613,"4","6mBrMo2CUoou15ZRqJpmI3","italian hip hop","r&b italiano",NA,NA,NA,NA,NA,NA,NA
"96","Ipocondria","Ultimo","Colpa Delle Favole","2019","Spring",61,0.343,0.711,0.567,0,0.161,-7,0.0798,119.99,"5","1",181301,0.718,"4","6YrDRkcDktxgsPcH8x77xm","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"97","okk@pp@","thasup","c@ra++ere s?ec!@le","2022","Autumn",52,0.0963,0.747,0.675,0.000342,0.345,-4.879,0.0422,106.96,"10","1",142373,0.683,"4","7zJed3rkONaRKANBROr7Zr","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"98","Phi","Ernia","68 (Till The End)","2019","Spring",56,0.0328,0.896,0.523,0.0243,0.123,-6.858,0.256,100.008,"1","1",174000,0.0662,"4","0E5bmLyxyiHsmc82D5gsiY","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA,NA
"99","Up Down (Do This All Day) (feat. B.o.B)","T-Pain","Happy Hour: The Greatest Hits","2014","missing",71,0.256,0.778,0.498,0,0.295,-6.846,0.0562,96.995,"5","0",231093,0.464,"4","6lbhWl34Il0WXm5pX1fM9E","dance pop","gangster rap","hip hop","pop rap","r&b","rap","southern hip hop","trap","urban contemporary"
"100","Sul finale","Ultimo","Solo","2021","Autumn",55,0.371,0.542,0.674,0,0.114,-5.339,0.0476,147.759,"10","1",234960,0.296,"4","3yup5llqOkS6nYSqAggq1S","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"101","As I Am (feat. Khalid)","Justin Bieber","Justice","2021","Spring",62,0.131,0.608,0.547,0,0.0974,-8.151,0.0368,99.947,"11","1",174406,0.108,"4","4MmMxyew8yq1OEyJOMaX6M","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA
